2021-12-10 09:53:18,274 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 시작
2021-12-10 09:53:18,274 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 시작
2021-12-10 09:53:18,304 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 1 페이지
2021-12-10 09:53:18,304 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 1 페이지
2021-12-10 09:53:23,343 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 대상 : 8 건
2021-12-10 09:53:23,343 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 대상 : 8 건
2021-12-10 09:53:27,429 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 성공 : 0 건
2021-12-10 09:53:27,429 | INFO | crawling | crawling_main() | crawling | C002/202/2202/army | 크롤링 성공 : 0 건
2021-12-10 09:53:35,242 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF78F8348>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:53:35,242 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF78F8348>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:53:37,275 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF77CFA88>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:53:37,275 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF77CFA88>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:53:39,323 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF77D7108>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:53:39,323 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001FFF77D7108>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/80272fb453a2095f5b2393bdd399379b/window
2021-12-10 09:54:48,543 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 09:54:48,543 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 09:54:48,570 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 09:54:48,570 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 09:54:53,597 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 09:54:53,597 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 09:56:11,016 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception time data '2021-12-01 11:00' does not match format '%Y%m%d%H%M%S'
2021-12-10 09:56:11,016 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception time data '2021-12-01 11:00' does not match format '%Y%m%d%H%M%S'
2021-12-10 10:17:27,466 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:17:27,466 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:17:27,509 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:17:27,509 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:17:27,517 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:17:27,517 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:27:04,230 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 5 건
2021-12-10 10:27:04,230 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 5 건
2021-12-10 10:27:09,261 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 2 페이지
2021-12-10 10:27:09,261 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 2 페이지
2021-12-10 10:27:09,269 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
